deviceType,avgPwr,varPwr,maxPwr,minPwr,duty,ct5,spk5,ct10,spk10,ct15,spk15,ct25,spk25,ct50,spk50,ct75,spk75,ct100,spk100,ct150,spk150,ct250,spk250,ct500,spk500
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blender,0.180084288194,19.3549816107,246.73,0.0,0.014652014652,10,1,7,1,6,1,10,0,12,0,10,0,7,0,3,0,0,0,0,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
Blowdryer,0.927453541667,1045.2694918,1622.79,0.0,0.0130548302872,1,3,0,3,0,3,0,3,0,1,1,1,2,1,2,0,4,0,3,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CableBox,21.6598340471,34.4225726342,28.85,0.0,1.23806556383e-05,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
