id,avgPwr,varPwr,maxPwr,minPwr,duty,ct5,spk5,ct10,spk10,ct15,spk15,ct25,spk25,ct50,spk50,ct75,spk75,ct100,spk100,ct150,spk150,ct250,spk250,ct500,spk500,deviceType
2,0.259574768519,44.1024298423,595.47,0.0,0.000162037037037,2,0,2,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,Blender
2,0.670204282407,68.0148562673,594.26,0.0,0.000335648148148,3,1,1,1,1,1,1,1,0,0,1,0,1,0,2,0,2,0,1,0,Blender
2,0.601299421296,36.3431758451,567.4,0.0,0.000150462962963,1,2,1,1,1,1,1,1,1,1,2,0,1,0,2,0,2,0,1,0,Blender
2,0.647904050926,70.8878001961,615.84,0.0,0.000277777777778,3,1,2,1,2,1,0,0,2,0,3,0,3,0,2,0,1,0,0,0,Blender
2,0.593449652778,14.8163836913,435.35,0.0,0.000127314814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blender
2,0.626977083333,26.714015781,389.29,0.0,0.000243055555556,0,1,0,1,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,Blender
2,0.709215046296,103.360838592,664.15,0.0,0.000347222222222,2,1,1,1,1,1,1,1,1,1,1,0,1,0,2,0,2,0,2,0,Blender
2,0.740012731481,79.7220403563,514.3,0.0,0.000717592592593,4,2,2,1,1,1,1,1,1,1,1,0,1,0,2,0,2,0,1,0,Blender
2,0.719173611111,95.6486743449,447.35,0.0,0.000497685185185,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,Blender
2,0.623689583333,93.8426685073,533.73,0.0,0.000358796296296,5,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Blender
2,0.605198842593,46.3882108586,409.0,0.0,0.000324074074074,2,1,1,1,0,1,1,0,2,0,2,0,2,0,1,0,0,0,0,0,Blender
2,1.08926979167,218.471610151,545.85,0.0,0.00166666666667,10,2,6,1,6,1,6,1,6,0,5,0,4,0,4,0,1,0,0,0,Blender
2,0.690309027778,70.5780056013,494.59,0.0,0.000439814814815,3,3,1,2,1,2,1,1,2,0,3,0,3,0,3,0,2,0,0,0,Blender
2,0.359723611111,43.6806529768,432.45,0.0,0.000289351851852,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,Blender
2,0.411922337963,72.2009301136,527.51,0.0,0.000324074074074,2,1,0,1,1,1,1,0,2,0,1,0,1,0,1,0,0,0,0,0,Blender
2,0.631026736111,60.0700885488,500.53,0.0,0.000289351851852,2,1,0,1,0,1,0,1,0,0,1,0,3,0,3,0,3,0,0,0,Blender
2,0.715746180556,109.010357179,538.35,0.0,0.000428240740741,5,0,6,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Blender
2,0.714102083333,87.0963568488,503.71,0.0,0.00037037037037,4,0,3,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Blender
2,0.649246643519,48.763447591,381.16,0.0,0.000393518518519,3,0,2,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,Blender
2,0.427712615741,78.1497014241,492.2,0.0,0.000358796296296,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blender
4,0.0830267361111,32.3901551433,615.66,0.0,0.000185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blender
4,0.270375347222,117.559335654,594.92,0.0,0.000439814814815,6,1,2,1,0,1,0,1,1,0,1,0,2,0,2,0,1,0,0,0,Blender
4,0.259384375,124.196330502,606.37,0.0,0.000578703703704,4,5,3,4,3,4,1,2,4,0,6,0,6,0,8,0,5,0,2,0,Blender
4,0.0732707175926,26.4241534355,447.75,0.0,0.000208333333333,2,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,Blender
8,0.372400347222,35.8792470937,246.73,0.0,0.00113425925926,7,1,3,1,2,1,2,0,4,0,4,0,3,0,1,0,0,0,0,0,Blender
8,0.067003587963,9.1852283236,198.81,0.0,0.000405092592593,1,0,2,0,3,0,4,0,2,0,1,0,1,0,0,0,0,0,0,0,Blender
